17/03/22 07:12:43 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/22 07:12:44 INFO client.RMProxy: Connecting to ResourceManager at mastercluster-1-m/10.138.0.3:8032
17/03/22 07:12:45 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/22 07:12:48 INFO input.FileInputFormat: Total input paths to process : 3032
17/03/22 07:12:48 INFO mapreduce.JobSubmitter: number of splits:3032
17/03/22 07:12:48 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490157211500_0006
17/03/22 07:12:48 INFO impl.YarnClientImpl: Submitted application application_1490157211500_0006
17/03/22 07:12:48 INFO mapreduce.Job: The url to track the job: http://mastercluster-1-m:8088/proxy/application_1490157211500_0006/
17/03/22 07:12:48 INFO mapreduce.Job: Running job: job_1490157211500_0006
17/03/22 07:12:55 INFO mapreduce.Job: Job job_1490157211500_0006 running in uber mode : false
17/03/22 07:12:55 INFO mapreduce.Job:  map 0% reduce 0%
17/03/22 07:13:20 INFO mapreduce.Job:  map 1% reduce 0%
17/03/22 07:13:46 INFO mapreduce.Job:  map 2% reduce 0%
17/03/22 07:14:19 INFO mapreduce.Job:  map 3% reduce 0%
17/03/22 07:14:48 INFO mapreduce.Job:  map 4% reduce 0%
17/03/22 07:15:15 INFO mapreduce.Job:  map 5% reduce 0%
17/03/22 07:15:45 INFO mapreduce.Job:  map 6% reduce 0%
17/03/22 07:16:14 INFO mapreduce.Job:  map 7% reduce 0%
17/03/22 07:16:43 INFO mapreduce.Job:  map 8% reduce 0%
17/03/22 07:17:09 INFO mapreduce.Job:  map 9% reduce 0%
17/03/22 07:17:42 INFO mapreduce.Job:  map 10% reduce 0%
17/03/22 07:18:10 INFO mapreduce.Job:  map 11% reduce 0%
17/03/22 07:18:38 INFO mapreduce.Job:  map 12% reduce 0%
17/03/22 07:19:04 INFO mapreduce.Job:  map 13% reduce 0%
17/03/22 07:19:33 INFO mapreduce.Job:  map 14% reduce 0%
17/03/22 07:20:04 INFO mapreduce.Job:  map 15% reduce 0%
17/03/22 07:20:28 INFO mapreduce.Job:  map 16% reduce 0%
17/03/22 07:20:58 INFO mapreduce.Job:  map 17% reduce 0%
17/03/22 07:21:26 INFO mapreduce.Job:  map 18% reduce 0%
17/03/22 07:21:52 INFO mapreduce.Job:  map 19% reduce 0%
17/03/22 07:22:21 INFO mapreduce.Job:  map 20% reduce 0%
17/03/22 07:22:51 INFO mapreduce.Job:  map 21% reduce 1%
17/03/22 07:23:17 INFO mapreduce.Job:  map 22% reduce 1%
17/03/22 07:23:47 INFO mapreduce.Job:  map 23% reduce 1%
17/03/22 07:24:16 INFO mapreduce.Job:  map 24% reduce 1%
17/03/22 07:24:45 INFO mapreduce.Job:  map 25% reduce 1%
17/03/22 07:25:13 INFO mapreduce.Job:  map 26% reduce 1%
17/03/22 07:25:43 INFO mapreduce.Job:  map 27% reduce 1%
17/03/22 07:26:10 INFO mapreduce.Job:  map 28% reduce 1%
17/03/22 07:26:41 INFO mapreduce.Job:  map 29% reduce 1%
17/03/22 07:27:08 INFO mapreduce.Job:  map 30% reduce 1%
17/03/22 07:27:36 INFO mapreduce.Job:  map 31% reduce 1%
17/03/22 07:28:05 INFO mapreduce.Job:  map 32% reduce 1%
17/03/22 07:28:32 INFO mapreduce.Job:  map 33% reduce 1%
17/03/22 07:29:00 INFO mapreduce.Job:  map 34% reduce 1%
17/03/22 07:29:31 INFO mapreduce.Job:  map 35% reduce 1%
17/03/22 07:29:57 INFO mapreduce.Job:  map 36% reduce 1%
17/03/22 07:30:26 INFO mapreduce.Job:  map 37% reduce 1%
17/03/22 07:30:56 INFO mapreduce.Job:  map 38% reduce 1%
17/03/22 07:31:22 INFO mapreduce.Job:  map 39% reduce 1%
17/03/22 07:31:51 INFO mapreduce.Job:  map 40% reduce 1%
17/03/22 07:32:19 INFO mapreduce.Job:  map 40% reduce 2%
17/03/22 07:32:20 INFO mapreduce.Job:  map 41% reduce 2%
17/03/22 07:32:51 INFO mapreduce.Job:  map 42% reduce 2%
17/03/22 07:33:20 INFO mapreduce.Job:  map 43% reduce 2%
17/03/22 07:33:49 INFO mapreduce.Job:  map 44% reduce 2%
17/03/22 07:34:19 INFO mapreduce.Job:  map 45% reduce 2%
17/03/22 07:34:35 INFO mapreduce.Job:  map 45% reduce 3%
17/03/22 07:34:46 INFO mapreduce.Job:  map 46% reduce 3%
17/03/22 07:35:16 INFO mapreduce.Job:  map 47% reduce 3%
17/03/22 07:35:47 INFO mapreduce.Job:  map 48% reduce 3%
17/03/22 07:36:16 INFO mapreduce.Job:  map 49% reduce 3%
17/03/22 07:36:45 INFO mapreduce.Job:  map 50% reduce 3%
17/03/22 07:37:16 INFO mapreduce.Job:  map 51% reduce 3%
17/03/22 07:37:44 INFO mapreduce.Job:  map 52% reduce 3%
17/03/22 07:38:13 INFO mapreduce.Job:  map 53% reduce 3%
17/03/22 07:38:42 INFO mapreduce.Job:  map 54% reduce 3%
17/03/22 07:39:12 INFO mapreduce.Job:  map 55% reduce 3%
17/03/22 07:39:41 INFO mapreduce.Job:  map 56% reduce 3%
17/03/22 07:40:09 INFO mapreduce.Job:  map 57% reduce 3%
17/03/22 07:40:37 INFO mapreduce.Job:  map 58% reduce 3%
17/03/22 07:41:07 INFO mapreduce.Job:  map 59% reduce 3%
17/03/22 07:41:37 INFO mapreduce.Job:  map 60% reduce 3%
17/03/22 07:42:06 INFO mapreduce.Job:  map 61% reduce 3%
17/03/22 07:42:36 INFO mapreduce.Job:  map 62% reduce 3%
17/03/22 07:43:04 INFO mapreduce.Job:  map 63% reduce 3%
17/03/22 07:43:22 INFO mapreduce.Job:  map 63% reduce 4%
17/03/22 07:43:33 INFO mapreduce.Job:  map 64% reduce 4%
17/03/22 07:44:00 INFO mapreduce.Job:  map 65% reduce 4%
17/03/22 07:44:31 INFO mapreduce.Job:  map 66% reduce 4%
17/03/22 07:45:01 INFO mapreduce.Job:  map 67% reduce 4%
17/03/22 07:45:28 INFO mapreduce.Job:  map 68% reduce 4%
17/03/22 07:45:57 INFO mapreduce.Job:  map 69% reduce 4%
17/03/22 07:46:27 INFO mapreduce.Job:  map 70% reduce 4%
17/03/22 07:46:55 INFO mapreduce.Job:  map 71% reduce 4%
17/03/22 07:47:22 INFO mapreduce.Job:  map 72% reduce 4%
17/03/22 07:47:50 INFO mapreduce.Job:  map 73% reduce 4%
17/03/22 07:48:17 INFO mapreduce.Job:  map 74% reduce 4%
17/03/22 07:48:47 INFO mapreduce.Job:  map 75% reduce 4%
17/03/22 07:49:15 INFO mapreduce.Job:  map 76% reduce 4%
17/03/22 07:49:41 INFO mapreduce.Job:  map 77% reduce 4%
17/03/22 07:50:09 INFO mapreduce.Job:  map 78% reduce 4%
17/03/22 07:50:38 INFO mapreduce.Job:  map 79% reduce 4%
17/03/22 07:51:05 INFO mapreduce.Job:  map 80% reduce 4%
17/03/22 07:51:32 INFO mapreduce.Job:  map 81% reduce 4%
17/03/22 07:51:48 INFO mapreduce.Job:  map 81% reduce 5%
17/03/22 07:52:01 INFO mapreduce.Job:  map 82% reduce 5%
17/03/22 07:52:27 INFO mapreduce.Job:  map 83% reduce 5%
17/03/22 07:52:55 INFO mapreduce.Job:  map 84% reduce 5%
17/03/22 07:53:22 INFO mapreduce.Job:  map 85% reduce 5%
17/03/22 07:53:47 INFO mapreduce.Job:  map 86% reduce 5%
17/03/22 07:54:16 INFO mapreduce.Job:  map 87% reduce 5%
17/03/22 07:54:43 INFO mapreduce.Job:  map 88% reduce 5%
17/03/22 07:55:11 INFO mapreduce.Job:  map 89% reduce 5%
17/03/22 07:55:37 INFO mapreduce.Job:  map 90% reduce 5%
17/03/22 07:56:03 INFO mapreduce.Job:  map 91% reduce 5%
17/03/22 07:56:30 INFO mapreduce.Job:  map 92% reduce 5%
